;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 14/05/2025 17:17:56
;----------------------------------------------

;Address Opcode 	ASM
____SysVT:
0x0000	0xFFFC2001  	537001980
0x52D6	0xF7FFFCBB  BL	_application_task+0
;main.c, 365 :: 		}
0x52DA	0xE7FC    B	L_main59
;main.c, 366 :: 		}
L_end_main:
L__main_end_loop:
0x52DC	0xE7FE    B	L__main_end_loop
; end of _main
___CC2DW:
;__Lib_System_4XX.c, 25 :: 		void __CC2DW()
0x4C3C	0xB081    SUB	SP, SP, #4
;__Lib_System_4XX.c, 28 :: 		L_loopDW:
L_loopDW:
;__Lib_System_4XX.c, 29 :: 		LDRB.W       R9, [R12], #1
0x4C3E	0xF81C9B01  LDRB	R9, [R12], #1
;__Lib_System_4XX.c, 30 :: 		STRB.W       R9, [R11], #1
0x4C42	0xF80B9B01  STRB	R9, [R11], #1
;__Lib_System_4XX.c, 31 :: 		CMP.W        R11, R10
0x4C46	0xEBBB0F0A  CMP	R11, R10, LSL #0
;__Lib_System_4XX.c, 32 :: 		BNE          L_loopDW
0x4C4A	0xD1F8    BNE	L_loopDW
;__Lib_System_4XX.c, 34 :: 		}
L_end___CC2DW:
0x4C4C	0xB001    ADD	SP, SP, #4
0x4C4E	0x4770    BX	LR
; end of ___CC2DW
___FillZeros:
;__Lib_System_4XX.c, 71 :: 		void __FillZeros()
0x4FF0	0xB081    SUB	SP, SP, #4
;__Lib_System_4XX.c, 74 :: 		MOV.W        R9, #0
0x4FF2	0xF04F0900  MOV	R9, #0
;__Lib_System_4XX.c, 75 :: 		MOV.W        R12, #0
0x4FF6	0xF04F0C00  MOV	R12, #0
;__Lib_System_4XX.c, 76 :: 		CMP.W        SP, R10
0x4FFA	0xEBBD0F0A  CMP	SP, R10, LSL #0
;__Lib_System_4XX.c, 77 :: 		BGT          L_loopFZs
0x4FFE	0xDC04    BGT	L_loopFZs
;__Lib_System_4XX.c, 78 :: 		CMP.W        SP, R11
0x5000	0xEBBD0F0B  CMP	SP, R11, LSL #0
;__Lib_System_4XX.c, 79 :: 		BLT          L_loopFZs
0x5004	0xDB01    BLT	L_loopFZs
;__Lib_System_4XX.c, 80 :: 		MOV          R12, R10
0x5006	0x46D4    MOV	R12, R10
;__Lib_System_4XX.c, 81 :: 		MOV          R10, SP
0x5008	0x46EA    MOV	R10, SP
;__Lib_System_4XX.c, 82 :: 		L_loopFZs:
L_loopFZs:
;__Lib_System_4XX.c, 83 :: 		STR.W        R9, [R11], #4
0x500A	0xF84B9B04  STR	R9, [R11], #4
;__Lib_System_4XX.c, 84 :: 		CMP.W        R11, R10
0x500E	0xEBBB0F0A  CMP	R11, R10, LSL #0
;__Lib_System_4XX.c, 85 :: 		BNE          L_loopFZs
0x5012	0xD1FA    BNE	L_loopFZs
;__Lib_System_4XX.c, 86 :: 		CMP.W        R12, R10
0x5014	0xEBBC0F0A  CMP	R12, R10, LSL #0
;__Lib_System_4XX.c, 87 :: 		BLE          L_norep
0x5018	0xDD05    BLE	L_norep
;__Lib_System_4XX.c, 88 :: 		MOV          R10, R12
0x501A	0x46E2    MOV	R10, R12
;__Lib_System_4XX.c, 89 :: 		LDR          R11, [R9]
0x501C	0xF8D9B000  LDR	R11, [R9, #0]
;__Lib_System_4XX.c, 90 :: 		ADD          R11, R11,#4
0x5020	0xF10B0B04  ADD	R11, R11, #4
;__Lib_System_4XX.c, 91 :: 		B            L_loopFZs
0x5024	0xE7F1    B	L_loopFZs
;__Lib_System_4XX.c, 92 :: 		L_norep:
L_norep:
;__Lib_System_4XX.c, 94 :: 		}
L_end___FillZeros:
0x5026	0xB001    ADD	SP, SP, #4
0x5028	0x4770    BX	LR
; end of ___FillZeros
_application_init:
;main.c, 233 :: 		void application_init(void)
0x4F30	0xB08A    SUB	SP, SP, #40
0x4F32	0xF8CDE000  STR	LR, [SP, #0]
;main.c, 248 :: 		LOG_MAP_USB_UART(log_cfg);
0x4F36	0x2000    MOVS	R0, #0
0x4F38	0xF88D0004  STRB	R0, [SP, #4]
;main.c, 249 :: 		log_init(&logger, &log_cfg);
0x4F3C	0xA801    ADD	R0, SP, #4
0x4F3E	0x4601    MOV	R1, R0
0x4F40	0x4826    LDR	R0, [PC, #152]
0x4F42	0xF7FFFE01  BL	_log_init+0
;main.c, 250 :: 		log_info(&logger, "---- Application Init ----");
0x4F46	0x4926    LDR	R1, [PC, #152]
0x4F48	0x4824    LDR	R0, [PC, #144]
0x4F4A	0xB402    PUSH	(R1)
0x4F4C	0xB401    PUSH	(R0)
0x4F4E	0xF7FFFDDF  BL	_log_info+0
0x4F52	0xB002    ADD	SP, SP, #8
;main.c, 253 :: 		wifiesp_cfg_setup(&wifiesp_cfg);
0x4F54	0xA802    ADD	R0, SP, #8
0x4F56	0xF7FFFD4B  BL	_wifiesp_cfg_setup+0
;main.c, 254 :: 		WIFIESP_MAP_MIKROBUS(wifiesp_cfg, MIKROBUS_3);
0x4F5A	0x2038    MOVS	R0, #56
0x4F5C	0xF8AD000A  STRH	R0, [SP, #10]
0x4F60	0x2039    MOVS	R0, #57
0x4F62	0xF8AD0008  STRH	R0, [SP, #8]
0x4F66	0x204D    MOVS	R0, #77
0x4F68	0xF8AD000C  STRH	R0, [SP, #12]
0x4F6C	0x2014    MOVS	R0, #20
0x4F6E	0xF8AD000E  STRH	R0, [SP, #14]
;main.c, 255 :: 		wifiesp_init(&wifiesp, &wifiesp_cfg);
0x4F72	0xA802    ADD	R0, SP, #8
0x4F74	0x4601    MOV	R1, R0
0x4F76	0x481B    LDR	R0, [PC, #108]
0x4F78	0xF7FFFCC4  BL	_wifiesp_init+0
;main.c, 256 :: 		wifiesp_default_cfg(&wifiesp);
0x4F7C	0x4819    LDR	R0, [PC, #100]
0x4F7E	0xF7FFFD5F  BL	_wifiesp_default_cfg+0
;main.c, 257 :: 		Delay_ms(1000);
0x4F82	0xF64757FE  MOVW	R7, #32254
0x4F86	0xF2C03756  MOVT	R7, #854
L_application_init43:
0x4F8A	0x1E7F    SUBS	R7, R7, #1
0x4F8C	0xD1FD    BNE	L_application_init43
0x4F8E	0xBF00    NOP
0x4F90	0xBF00    NOP
0x4F92	0xBF00    NOP
0x4F94	0xBF00    NOP
0x4F96	0xBF00    NOP
;main.c, 260 :: 		wifi_communication_init();
0x4F98	0xF7FFFBB2  BL	_wifi_communication_init+0
;main.c, 264 :: 		log_info(&logger, "Please connect to the IP address listed above.\r\n");
0x4F9C	0x4912    LDR	R1, [PC, #72]
0x4F9E	0x480F    LDR	R0, [PC, #60]
0x4FA0	0xB402    PUSH	(R1)
0x4FA2	0xB401    PUSH	(R0)
0x4FA4	0xF7FFFDB4  BL	_log_info+0
0x4FA8	0xB002    ADD	SP, SP, #8
;main.c, 267 :: 		hallcurrent5_cfg_setup(&hallcurrent5_cfg);
0x4FAA	0xA806    ADD	R0, SP, #24
0x4FAC	0xF7FFFA5C  BL	_hallcurrent5_cfg_setup+0
;main.c, 268 :: 		HALLCURRENT5_MAP_MIKROBUS(hallcurrent5_cfg, MIKROBUS_2);
0x4FB0	0x2020    MOVS	R0, #32
0x4FB2	0xF8AD0018  STRH	R0, [SP, #24]
0x4FB6	0x2034    MOVS	R0, #52
0x4FB8	0xF8AD001A  STRH	R0, [SP, #26]
;main.c, 269 :: 		hallcurrent5_init(&hallcurrent5, &hallcurrent5_cfg);
0x4FBC	0xA806    ADD	R0, SP, #24
0x4FBE	0x4601    MOV	R1, R0
0x4FC0	0x480A    LDR	R0, [PC, #40]
0x4FC2	0xF7FFF99D  BL	_hallcurrent5_init+0
;main.c, 272 :: 		hallcurrent5_set_init_voltage(&hallcurrent5, 450);
0x4FC6	0xF24011C2  MOVW	R1, #450
0x4FCA	0x4808    LDR	R0, [PC, #32]
0x4FCC	0xF7FFF992  BL	_hallcurrent5_set_init_voltage+0
;main.c, 273 :: 		Delay_100ms();
0x4FD0	0xF7FEFDEA  BL	_Delay_100ms+0
;main.c, 274 :: 		}
L_end_application_init:
0x4FD4	0xF8DDE000  LDR	LR, [SP, #0]
0x4FD8	0xB00A    ADD	SP, SP, #40
0x4FDA	0x4770    BX	LR
0x4FDC	0x053F2000  	main_logger+0
0x4FE0	0x64710000  	?lstr_35_main+0
0x4FE4	0x05DC2000  	main_wifiesp+0
0x4FE8	0x62B60000  	?lstr_36_main+0
0x4FEC	0x09302000  	main_hallcurrent5+0
; end of _application_init
_log_init:
;log.c, 49 :: 		log_err_t log_init ( log_t *log, log_cfg_t *cfg )
0x4B48	0xB081    SUB	SP, SP, #4
;log.c, 51 :: 		log->log_level = cfg->level;
0x4B4A	0x780A    LDRB	R2, [R1, #0]
0x4B4C	0x7002    STRB	R2, [R0, #0]
;log.c, 53 :: 		return LOG_SUCCESS;
0x4B4E	0x2000    MOVS	R0, #0
0x4B50	0xB240    SXTB	R0, R0
;log.c, 54 :: 		}
L_end_log_init:
0x4B52	0xB001    ADD	SP, SP, #4
0x4B54	0x4770    BX	LR
; end of _log_init
_log_info:
;log.c, 76 :: 		void log_info ( log_t *log, const code char * __generic_ptr f,... )
0x4B10	0xB082    SUB	SP, SP, #8
0x4B12	0xF8CDE000  STR	LR, [SP, #0]
0x4B16	0x9C02    LDR	R4, [SP, #8]
0x4B18	0x9803    LDR	R0, [SP, #12]
0x4B1A	0x9003    STR	R0, [SP, #12]
;log.c, 79 :: 		va_start( ap, f );
0x4B1C	0xA901    ADD	R1, SP, #4
0x4B1E	0xA803    ADD	R0, SP, #12
0x4B20	0x1D00    ADDS	R0, R0, #4
0x4B22	0x6008    STR	R0, [R1, #0]
;log.c, 81 :: 		if ( log->log_level <= LOG_LEVEL_INFO )
0x4B24	0x7820    LDRB	R0, [R4, #0]
0x4B26	0x2801    CMP	R0, #1
0x4B28	0xD807    BHI	L_log_info3
;log.c, 83 :: 		api_log( log, "[INFO]: ", f, ap );
0x4B2A	0xA901    ADD	R1, SP, #4
0x4B2C	0x4805    LDR	R0, [PC, #20]
0x4B2E	0x460B    MOV	R3, R1
0x4B30	0x9A03    LDR	R2, [SP, #12]
0x4B32	0x4601    MOV	R1, R0
0x4B34	0x4620    MOV	R0, R4
0x4B36	0xF7FEFF77  BL	log_api_log+0
;log.c, 84 :: 		}
L_log_info3:
;log.c, 85 :: 		}
L_end_log_info:
0x4B3A	0xF8DDE000  LDR	LR, [SP, #0]
0x4B3E	0xB002    ADD	SP, SP, #8
0x4B40	0x4770    BX	LR
0x4B42	0xBF00    NOP
0x4B44	0x020C2000  	?lstr7_log+0
; end of _log_info
log_api_log:
;log.c, 42 :: 		static void api_log ( log_t *log, char * prefix, const code char * __generic_ptr f, va_list ap )
0x3A28	0xB083    SUB	SP, SP, #12
0x3A2A	0xF8CDE000  STR	LR, [SP, #0]
0x3A2E	0x9201    STR	R2, [SP, #4]
0x3A30	0x9302    STR	R3, [SP, #8]
;log.c, 44 :: 		printf_me( prefix );
0x3A32	0xB402    PUSH	(R1)
0x3A34	0xF7FFFBFA  BL	_printf_me+0
0x3A38	0xB001    ADD	SP, SP, #4
;log.c, 45 :: 		vfprintf_me( &debugStdOut, f, ap );
0x3A3A	0x9A02    LDR	R2, [SP, #8]
0x3A3C	0x9901    LDR	R1, [SP, #4]
0x3A3E	0x4806    LDR	R0, [PC, #24]
0x3A40	0xF7FDFFAC  BL	_vfprintf_me+0
;log.c, 46 :: 		printf_me( "\n" );
0x3A44	0x4C05    LDR	R4, [PC, #20]
0x3A46	0xB410    PUSH	(R4)
0x3A48	0xF7FFFBF0  BL	_printf_me+0
0x3A4C	0xB001    ADD	SP, SP, #4
;log.c, 47 :: 		}
L_end_api_log:
0x3A4E	0xF8DDE000  LDR	LR, [SP, #0]
0x3A52	0xB003    ADD	SP, SP, #12
0x3A54	0x4770    BX	LR
0x3A56	0xBF00    NOP
0x3A58	0x15890000  	_debugStdOut+0
0x3A5C	0x0AA60000  	?lstr_3_log+0
; end of log_api_log
_printf_me:
;cstdio.c, 849 :: 		int printf_me( const char * format, ... )
0x322C	0xB082    SUB	SP, SP, #8
0x322E	0xF8CDE000  STR	LR, [SP, #0]
0x3232	0x9802    LDR	R0, [SP, #8]
0x3234	0x9002    STR	R0, [SP, #8]
;cstdio.c, 851 :: 		int     cnt = 0;
;cstdio.c, 854 :: 		va_start( arg, format );
0x3236	0xA901    ADD	R1, SP, #4
0x3238	0xA802    ADD	R0, SP, #8
0x323A	0x1D00    ADDS	R0, R0, #4
0x323C	0x6008    STR	R0, [R1, #0]
;cstdio.c, 855 :: 		cnt = vfprintf_me( &debugStdOut, format, arg );
0x323E	0x460A    MOV	R2, R1
0x3240	0x9902    LDR	R1, [SP, #8]
0x3242	0x4803    LDR	R0, [PC, #12]
0x3244	0xF7FEFBAA  BL	_vfprintf_me+0
;cstdio.c, 857 :: 		return cnt;
;cstdio.c, 858 :: 		}
L_end_printf_me:
0x3248	0xF8DDE000  LDR	LR, [SP, #0]
0x324C	0xB002    ADD	SP, SP, #8
0x324E	0x4770    BX	LR
0x3250	0x15890000  	_debugStdOut+0
; end of _printf_me
_vfprintf_me:
;cstdio.c, 251 :: 		int vfprintf_me( void ( *stream )( char ch ), const char * format, register va_list arg )
0x199C	0xB091    SUB	SP, SP, #68
0x199E	0xF8CDE000  STR	LR, [SP, #0]
0x19A2	0x900A    STR	R0, [SP, #40]
0x19A4	0x910B    STR	R1, [SP, #44]
0x19A6	0x920C    STR	R2, [SP, #48]
;cstdio.c, 257 :: 		int      ccnt = 0;
0x19A8	0xF2400300  MOVW	R3, #0
0x19AC	0xF8AD3024  STRH	R3, [SP, #36]
;cstdio.c, 291 :: 		flag = 0;
;cstdio.c, 292 :: 		while ( c = *format++ ) {
L_vfprintf_me12:
0x19B0	0x9C0B    LDR	R4, [SP, #44]
0x19B2	0x9B0B    LDR	R3, [SP, #44]
0x19B4	0x1C5B    ADDS	R3, R3, #1
0x19B6	0x930B    STR	R3, [SP, #44]
0x19B8	0x7823    LDRB	R3, [R4, #0]
0x19BA	0xF88D300E  STRB	R3, [SP, #14]
0x19BE	0x2B00    CMP	R3, #0
0x19C0	0xF00180F4  BEQ	L_vfprintf_me13
;cstdio.c, 293 :: 		if ( c != '%' ) {
0x19C4	0xF89D300E  LDRB	R3, [SP, #14]
0x19C8	0x2B25    CMP	R3, #37
0x19CA	0xD004    BEQ	L_vfprintf_me14
;cstdio.c, 294 :: 		stream( c );
0x19CC	0xF89D000E  LDRB	R0, [SP, #14]
0x19D0	0x9C0A    LDR	R4, [SP, #40]
0x19D2	0x47A0    BLX	R4
;cstdio.c, 295 :: 		continue;
0x19D4	0xE7EC    B	L_vfprintf_me12
;cstdio.c, 296 :: 		}
L_vfprintf_me14:
;cstdio.c, 297 :: 		width = 0;
0x19D6	0x2300    MOVS	R3, #0
0x19D8	0xB21B    SXTH	R3, R3
0x19DA	0xF8AD3010  STRH	R3, [SP, #16]
;cstdio.c, 298 :: 		flag = 0;
0x19DE	0x2300    MOVS	R3, #0
0x19E0	0xF8AD3012  STRH	R3, [SP, #18]
;cstdio.c, 299 :: 		for ( ;; ) {
L_vfprintf_me15:
;cstdio.c, 300 :: 		switch ( *format ) {
0x19E4	0xE031    B	L_vfprintf_me18
;cstdio.c, 301 :: 		case '-':
L_vfprintf_me20:
;cstdio.c, 302 :: 		flag |= LEFT;
0x19E6	0xF8BD3012  LDRH	R3, [SP, #18]
0x19EA	0xF0430308  ORR	R3, R3, #8
0x19EE	0xF8AD3012  STRH	R3, [SP, #18]
;cstdio.c, 303 :: 		format++;
0x19F2	0x9B0B    LDR	R3, [SP, #44]
0x19F4	0x1C5B    ADDS	R3, R3, #1
0x19F6	0x930B    STR	R3, [SP, #44]
;cstdio.c, 304 :: 		continue;
0x19F8	0xE03C    B	L_vfprintf_me17
;cstdio.c, 306 :: 		case ' ':
L_vfprintf_me21:
;cstdio.c, 307 :: 		flag |= SPCSIGN;
0x19FA	0xF8BD3012  LDRH	R3, [SP, #18]
0x19FE	0xF0430301  ORR	R3, R3, #1
0x1A02	0xF8AD3012  STRH	R3, [SP, #18]
;cstdio.c, 308 :: 		format++;
0x1A06	0x9B0B    LDR	R3, [SP, #44]
0x1A08	0x1C5B    ADDS	R3, R3, #1
0x1A0A	0x930B    STR	R3, [SP, #44]
;cstdio.c, 309 :: 		continue;
0x1A0C	0xE032    B	L_vfprintf_me17
;cstdio.c, 311 :: 		case '+':
L_vfprintf_me22:
;cstdio.c, 312 :: 		flag |= MANSIGN;
0x1A0E	0xF8BD3012  LDRH	R3, [SP, #18]
0x1A12	0xF0430302  ORR	R3, R3, #2
0x1A16	0xF8AD3012  STRH	R3, [SP, #18]
;cstdio.c, 313 :: 		format++;
0x1A1A	0x9B0B    LDR	R3, [SP, #44]
0x1A1C	0x1C5B    ADDS	R3, R3, #1
0x1A1E	0x930B    STR	R3, [SP, #44]
;cstdio.c, 314 :: 		continue;
0x1A20	0xE028    B	L_vfprintf_me17
;cstdio.c, 316 :: 		case '#':
L_vfprintf_me23:
;cstdio.c, 317 :: 		flag |= ALTERN;
0x1A22	0xF8BD3012  LDRH	R3, [SP, #18]
0x1A26	0xF4436300  ORR	R3, R3, #2048
0x1A2A	0xF8AD3012  STRH	R3, [SP, #18]
;cstdio.c, 318 :: 		format++;
0x1A2E	0x9B0B    LDR	R3, [SP, #44]
0x1A30	0x1C5B    ADDS	R3, R3, #1
0x1A32	0x930B    STR	R3, [SP, #44]
;cstdio.c, 319 :: 		continue;
0x1A34	0xE01E    B	L_vfprintf_me17
;cstdio.c, 321 :: 		case '0':
L_vfprintf_me24:
;cstdio.c, 322 :: 		flag |= FILL;
0x1A36	0xF8BD3012  LDRH	R3, [SP, #18]
0x1A3A	0xF0430304  ORR	R3, R3, #4
0x1A3E	0xF8AD3012  STRH	R3, [SP, #18]
;cstdio.c, 323 :: 		format++;
0x1A42	0x9B0B    LDR	R3, [SP, #44]
0x1A44	0x1C5B    ADDS	R3, R3, #1
0x1A46	0x930B    STR	R3, [SP, #44]
;cstdio.c, 324 :: 		continue;
0x1A48	0xE014    B	L_vfprintf_me17
;cstdio.c, 325 :: 		}
L_vfprintf_me18:
0x1A4A	0x9B0B    LDR	R3, [SP, #44]
0x1A4C	0x781B    LDRB	R3, [R3, #0]
0x1A4E	0x2B2D    CMP	R3, #45
0x1A50	0xD0C9    BEQ	L_vfprintf_me20
0x1A52	0x9B0B    LDR	R3, [SP, #44]
0x1A54	0x781B    LDRB	R3, [R3, #0]
0x1A56	0x2B20    CMP	R3, #32
0x1A58	0xD0CF    BEQ	L_vfprintf_me21
0x1A5A	0x9B0B    LDR	R3, [SP, #44]
0x1A5C	0x781B    LDRB	R3, [R3, #0]
0x1A5E	0x2B2B    CMP	R3, #43
0x1A60	0xD0D5    BEQ	L_vfprintf_me22
0x1A62	0x9B0B    LDR	R3, [SP, #44]
0x1A64	0x781B    LDRB	R3, [R3, #0]
0x1A66	0x2B23    CMP	R3, #35
0x1A68	0xD0DB    BEQ	L_vfprintf_me23
0x1A6A	0x9B0B    LDR	R3, [SP, #44]
0x1A6C	0x781B    LDRB	R3, [R3, #0]
0x1A6E	0x2B30    CMP	R3, #48
0x1A70	0xD0E1    BEQ	L_vfprintf_me24
;cstdio.c, 326 :: 		break;
0x1A72	0xE000    B	L_vfprintf_me16
;cstdio.c, 327 :: 		}
L_vfprintf_me17:
0x1A74	0xE7B6    B	L_vfprintf_me15
L_vfprintf_me16:
;cstdio.c, 328 :: 		if ( flag & MANSIGN )
0x1A76	0xF8BD3012  LDRH	R3, [SP, #18]
0x1A7A	0xF0030302  AND	R3, R3, #2
0x1A7E	0xB29B    UXTH	R3, R3
0x1A80	0xB13B    CBZ	R3, L_vfprintf_me25
;cstdio.c, 329 :: 		flag &= ~SPCSIGN;
0x1A82	0xF8BD4012  LDRH	R4, [SP, #18]
0x1A86	0xF64F73FE  MOVW	R3, #65534
0x1A8A	0xEA040303  AND	R3, R4, R3, LSL #0
0x1A8E	0xF8AD3012  STRH	R3, [SP, #18]
L_vfprintf_me25:
;cstdio.c, 330 :: 		if ( flag & LEFT )
0x1A92	0xF8BD3012  LDRH	R3, [SP, #18]
0x1A96	0xF0030308  AND	R3, R3, #8
0x1A9A	0xB29B    UXTH	R3, R3
0x1A9C	0xB13B    CBZ	R3, L_vfprintf_me26
;cstdio.c, 331 :: 		flag &= ~FILL;
0x1A9E	0xF8BD4012  LDRH	R4, [SP, #18]
0x1AA2	0xF64F73FB  MOVW	R3, #65531
0x1AA6	0xEA040303  AND	R3, R4, R3, LSL #0
0x1AAA	0xF8AD3012  STRH	R3, [SP, #18]
L_vfprintf_me26:
;cstdio.c, 332 :: 		if ( __isdigit( ( unsigned )*format ) ) {
0x1AAE	0x9B0B    LDR	R3, [SP, #44]
0x1AB0	0x781B    LDRB	R3, [R3, #0]
0x1AB2	0xB2D8    UXTB	R0, R3
0x1AB4	0xF7FFFD5C  BL	cstdio___isdigit+0
0x1AB8	0xB1D0    CBZ	R0, L_vfprintf_me27
;cstdio.c, 333 :: 		width = 0;
0x1ABA	0x2300    MOVS	R3, #0
0x1ABC	0xB21B    SXTH	R3, R3
0x1ABE	0xF8AD3010  STRH	R3, [SP, #16]
;cstdio.c, 334 :: 		do
L_vfprintf_me28:
;cstdio.c, 335 :: 		width = width * 10 + *format++ - '0';
0x1AC2	0xF9BD4010  LDRSH	R4, [SP, #16]
0x1AC6	0x230A    MOVS	R3, #10
0x1AC8	0xB21B    SXTH	R3, R3
0x1ACA	0x435C    MULS	R4, R3, R4
0x1ACC	0xB224    SXTH	R4, R4
0x1ACE	0x9B0B    LDR	R3, [SP, #44]
0x1AD0	0x781B    LDRB	R3, [R3, #0]
0x1AD2	0x18E3    ADDS	R3, R4, R3
0x1AD4	0xB21B    SXTH	R3, R3
0x1AD6	0x3B30    SUBS	R3, #48
0x1AD8	0xF8AD3010  STRH	R3, [SP, #16]
0x1ADC	0x9B0B    LDR	R3, [SP, #44]
0x1ADE	0x1C5B    ADDS	R3, R3, #1
0x1AE0	0x930B    STR	R3, [SP, #44]
;cstdio.c, 336 :: 		while ( __isdigit( ( unsigned )*format ) );
0x1AE2	0x781B    LDRB	R3, [R3, #0]
0x1AE4	0xB2D8    UXTB	R0, R3
0x1AE6	0xF7FFFD43  BL	cstdio___isdigit+0
0x1AEA	0x2800    CMP	R0, #0
0x1AEC	0xD1E9    BNE	L_vfprintf_me28
;cstdio.c, 337 :: 		} else if ( *format == '*' ) {
0x1AEE	0xE00F    B	L_vfprintf_me31
L_vfprintf_me27:
0x1AF0	0x9B0B    LDR	R3, [SP, #44]
0x1AF2	0x781B    LDRB	R3, [R3, #0]
0x1AF4	0x2B2A    CMP	R3, #42
0x1AF6	0xD10B    BNE	L_vfprintf_me32
;cstdio.c, 338 :: 		width = va_arg( arg, int );
0x1AF8	0x9B0C    LDR	R3, [SP, #48]
0x1AFA	0x681D    LDR	R5, [R3, #0]
0x1AFC	0x1D2C    ADDS	R4, R5, #4
0x1AFE	0x9B0C    LDR	R3, [SP, #48]
0x1B00	0x601C    STR	R4, [R3, #0]
0x1B02	0xF9B53000  LDRSH	R3, [R5, #0]
0x1B06	0xF8AD3010  STRH	R3, [SP, #16]
;cstdio.c, 339 :: 		format++;
0x1B0A	0x9B0B    LDR	R3, [SP, #44]
0x1B0C	0x1C5B    ADDS	R3, R3, #1
0x1B0E	0x930B    STR	R3, [SP, #44]
;cstdio.c, 340 :: 		}
L_vfprintf_me32:
L_vfprintf_me31:
;cstdio.c, 341 :: 		if ( *format == '.' )
0x1B10	0x9B0B    LDR	R3, [SP, #44]
0x1B12	0x781B    LDRB	R3, [R3, #0]
0x1B14	0x2B2E    CMP	R3, #46
0x1B16	0xD12E    BNE	L_vfprintf_me33
;cstdio.c, 342 :: 		if ( *++format == '*' ) {
